time,kind,id,x,y
0.5000,agent,agent_15,2.337177,2.790068
0.5000,cargo,cargo_0,3.784836,3.806352
0.5500,agent,agent_00,4.358883,2.367962
0.5500,agent,agent_01,2.647525,3.047174
0.5500,agent,agent_02,5.566326,4.291892
0.5500,agent,agent_03,1.898138,3.986610
0.5500,agent,agent_04,5.113046,5.749061
0.5500,agent,agent_05,5.445382,3.473462
0.5500,agent,agent_06,2.230573,3.069445
0.5500,agent,agent_07,3.305779,5.336086
0.5500,agent,agent_08,5.417103,4.905858
0.5500,agent,agent_09,2.538063,3.520887
0.5500,agent,agent_10,4.457693,5.451602
0.5500,agent,agent_11,2.051882,4.604114
0.5500,agent,agent_12,2.064685,3.552489
0.5500,agent,agent_13,5.079416,3.115922
0.5500,agent,agent_14,2.213865,4.927211
0.5500,agent,agent_15,2.350399,2.796184
0.5500,cargo,cargo_0,3.784836,3.806352
0.6000,agent,agent_00,4.352431,2.384230
0.6000,agent,agent_01,2.661032,3.052628
0.6000,agent,agent_02,5.550831,4.283758
0.6000,agent,agent_03,1.915638,3.986657
0.6000,agent,agent_04,5.112109,5.731586
0.6000,agent,agent_05,5.430888,3.481020
0.6000,agent,agent_06,2.247241,3.073836
0.6000,agent,agent_07,3.307248,5.323965
0.6000,agent,agent_08,5.410275,4.889745
0.6000,agent,agent_09,2.552647,3.530560
0.6000,agent,agent_10,4.442345,5.443193
0.6000,agent,agent_11,2.068208,4.597811
0.6000,agent,agent_12,2.082185,3.552358
0.6000,agent,agent_13,5.067907,3.118948
0.6000,agent,agent_14,2.230053,4.920563
0.6000,agent,agent_15,2.363519,2.802431
0.6000,cargo,cargo_0,3.784836,3.806352
0.6500,agent,agent_00,4.346063,2.400530
0.6500,agent,agent_01,2.674256,3.057961
0.6500,agent,agent_02,5.535249,4.275793
0.6500,agent,agent_03,1.933136,3.986906
0.6500,agent,agent_04,5.099561,5.719388
0.6500,agent,agent_05,5.416971,3.488270
0.6500,agent,agent_06,2.263984,3.078583
0.6500,agent,agent_07,3.309637,5.312515
0.6500,agent,agent_08,5.403448,4.873632
0.6500,agent,agent_09,2.566968,3.540618
0.6500,agent,agent_10,4.427100,5.434600
0.6500,agent,agent_11,2.084508,4.591442
0.6500,agent,agent_12,2.099681,3.551999
0.6500,agent,agent_13,5.056145,3.121428
0.6500,agent,agent_14,2.246125,4.913638
0.6500,agent,agent_15,2.376221,2.809123
0.6500,cargo,cargo_0,3.784836,3.806352
0.7000,agent,agent_00,4.339661,2.416817
0.7000,agent,agent_01,2.687024,3.063240
0.7000,agent,agent_02,5.519739,4.267689
0.7000,agent,agent_03,1.950633,3.987238
0.7000,agent,agent_04,5.086956,5.707248
0.7000,agent,agent_05,5.403502,3.495230
0.7000,agent,agent_06,2.280629,3.083622
0.7000,agent,agent_07,3.311717,5.301465
0.7000,agent,agent_08,5.396620,4.857519
0.7000,agent,agent_09,2.581064,3.550989
0.7000,agent,agent_10,4.412026,5.425711
0.7000,agent,agent_11,2.100799,4.585051
0.7000,agent,agent_12,2.117118,3.550508
0.7000,agent,agent_13,5.044794,3.124106
0.7000,agent,agent_14,2.262241,4.906818
0.7000,agent,agent_15,2.390622,2.813679
0.7000,cargo,cargo_0,3.784836,3.806352
0.7500,agent,agent_00,4.333338,2.433135
0.7500,agent,agent_01,2.699615,3.068285
0.7500,agent,agent_02,5.504264,4.259517
0.7500,agent,agent_03,1.968133,3.987359
0.7500,agent,agent_04,5.074351,5.695109
0.7500,agent,agent_05,5.390583,3.501650
0.7500,agent,agent_06,2.296959,3.088451
0.7500,agent,agent_07,3.312821,5.290352
0.7500,agent,agent_08,5.389792,4.841406
0.7500,agent,agent_09,2.594730,3.561920
0.7500,agent,agent_10,4.397106,5.416565
0.7500,agent,agent_11,2.117162,4.578847
0.7500,agent,agent_12,2.134564,3.549141
0.7500,agent,agent_13,5.035626,3.126701
0.7500,agent,agent_14,2.278451,4.900224
0.7500,agent,agent_15,2.404794,2.818406
0.7500,cargo,cargo_0,3.784836,3.806352
0.8000,agent,agent_00,4.327008,2.449450
0.8000,agent,agent_01,2.711924,3.073169
0.8000,agent,agent_02,5.488924,4.251095
0.8000,agent,agent_03,1.985630,3.987696
0.8000,agent,agent_04,5.061689,5.683029
0.8000,agent,agent_05,5.378201,3.507559
0.8000,agent,agent_06,2.312883,3.093496
0.8000,agent,agent_07,3.313671,5.279344
0.8000,agent,agent_08,5.382964,4.825293
0.8000,agent,agent_09,2.608565,3.572637
0.8000,agent,agent_10,4.382319,5.407205
0.8000,agent,agent_11,2.133557,4.572725
0.8000,agent,agent_12,2.152006,3.547715
0.8000,agent,agent_13,5.024701,3.128471
0.8000,agent,agent_14,2.294609,4.893504
0.8000,agent,agent_15,2.418715,2.823279
0.8000,cargo,cargo_0,3.784836,3.806352
0.8500,agent,agent_00,4.320128,2.465541
0.8500,agent,agent_01,2.723448,3.077816
0.8500,agent,agent_02,5.473589,4.242662
0.8500,agent,agent_03,2.003034,3.985869
0.8500,agent,agent_04,5.049026,5.670950
0.8500,agent,agent_05,5.366108,3.513340
0.8500,agent,agent_06,2.328409,3.098508
0.8500,agent,agent_07,3.314538,5.268929
0.8500,agent,agent_08,5.376136,4.809180
0.8500,agent,agent_09,2.622216,3.583496
0.8500,agent,agent_10,4.367687,5.397606
0.8500,agent,agent_11,2.149904,4.566478
0.8500,agent,agent_12,2.169438,3.549257
0.8500,agent,agent_13,5.014146,3.129472
0.8500,agent,agent_14,2.310627,4.886454
0.8500,agent,agent_15,2.432353,2.828291
0.8500,cargo,cargo_0,3.784836,3.806352
0.9000,agent,agent_00,4.312899,2.481477
0.9000,agent,agent_01,2.734395,3.082471
0.9000,agent,agent_02,5.458226,4.234283
0.9000,agent,agent_03,2.020533,3.986003
0.9000,agent,agent_04,5.036364,5.658870
0.9000,agent,agent_05,5.354581,3.518530
0.9000,agent,agent_06,2.343492,3.103440
0.9000,agent,agent_07,3.316304,5.259833
0.9000,agent,agent_08,5.369308,4.793067
0.9000,agent,agent_09,2.635437,3.594292
0.9000,agent,agent_10,4.352900,5.388246
0.9000,agent,agent_11,2.166208,4.560121
0.9000,agent,agent_12,2.186934,3.549623
0.9000,agent,agent_13,5.004559,3.130672
0.9000,agent,agent_14,2.326713,4.879563
0.9000,agent,agent_15,2.446014,2.832974
0.9000,cargo,cargo_0,3.784836,3.806352
0.9500,agent,agent_00,4.305665,2.497412
0.9500,agent,agent_01,2.744917,3.087149
0.9500,agent,agent_02,5.442924,4.225792
0.9500,agent,agent_03,2.038023,3.985395
0.9500,agent,agent_04,5.023701,5.646791
0.9500,agent,agent_05,5.343286,3.523619
0.9500,agent,agent_06,2.358205,3.110018
0.9500,agent,agent_07,3.318634,5.251023
0.9500,agent,agent_08,5.362480,4.776954
0.9500,agent,agent_09,2.648149,3.605167
0.9500,agent,agent_10,4.338711,5.378003
0.9500,agent,agent_11,2.182670,4.554183
0.9500,agent,agent_12,2.204367,3.548089
0.9500,agent,agent_13,4.996581,3.131369
0.9500,agent,agent_14,2.342888,4.872884
0.9500,agent,agent_15,2.458187,2.839047
0.9500,cargo,cargo_0,3.784836,3.806352
1.0000,agent,agent_00,4.298373,2.513321
1.0000,agent,agent_01,2.754973,3.091396
1.0000,agent,agent_02,5.427653,4.217245
1.0000,agent,agent_03,2.055507,3.984658
1.0000,agent,agent_04,5.011039,5.634712
1.0000,agent,agent_05,5.332258,3.528283
1.0000,agent,agent_06,2.372478,3.116333
1.0000,agent,agent_07,3.320713,5.242463
1.0000,agent,agent_08,5.355653,4.760841
1.0000,agent,agent_09,2.660392,3.616039
1.0000,agent,agent_10,4.324134,5.368321
1.0000,agent,agent_11,2.199161,4.548327
1.0000,agent,agent_12,2.221773,3.546278
1.0000,agent,agent_13,4.990336,3.132029
1.0000,agent,agent_14,2.358942,4.865919
1.0000,agent,agent_15,2.470236,2.844883
1.0000,cargo,cargo_0,3.784836,3.806352
1.0500,agent,agent_00,4.290528,2.528964
1.0500,agent,agent_01,2.764712,3.095572
1.0500,agent,agent_02,5.412525,4.208448
1.0500,agent,agent_03,2.072980,3.983686
1.0500,agent,agent_04,4.998377,5.622632
1.0500,agent,agent_05,5.321588,3.532793
1.0500,agent,agent_06,2.386337,3.122810
1.0500,agent,agent_07,3.322789,5.233882
1.0500,agent,agent_08,5.348825,4.744728
1.0500,agent,agent_09,2.672258,3.626436
1.0500,agent,agent_10,4.310533,5.357309
1.0500,agent,agent_11,2.215647,4.542457
1.0500,agent,agent_12,2.239201,3.544694
1.0500,agent,agent_13,4.984101,3.131821
1.0500,agent,agent_14,2.375048,4.859074
1.0500,agent,agent_15,2.482092,2.850491
1.0500,cargo,cargo_0,3.784761,3.806352
1.1000,agent,agent_00,4.282090,2.544295
1.1000,agent,agent_01,2.774015,3.100219
1.1000,agent,agent_02,5.395826,4.203214
1.1000,agent,agent_03,2.086410,3.986487
1.1000,agent,agent_04,4.985714,5.610553
1.1000,agent,agent_05,5.310502,3.537549
1.1000,agent,agent_06,2.399806,3.129540
1.1000,agent,agent_07,3.324163,5.225168
1.1000,agent,agent_08,5.340728,4.729213
1.1000,agent,agent_09,2.683725,3.637074
1.1000,agent,agent_10,4.297412,5.345729
1.1000,agent,agent_11,2.232101,4.536497
1.1000,agent,agent_12,2.256254,3.540764
1.1000,agent,agent_13,4.978767,3.132058
1.1000,agent,agent_14,2.391190,4.852314
1.1000,agent,agent_15,2.493705,2.855931
1.1000,cargo,cargo_0,3.783739,3.806370
1.1500,agent,agent_00,4.273883,2.559752
1.1500,agent,agent_01,2.782948,3.104711
1.1500,agent,agent_02,5.379070,4.198163
1.1500,agent,agent_03,2.099778,3.989883
1.1500,agent,agent_04,4.972521,5.599055
1.1500,agent,agent_05,5.299824,3.541585
1.1500,agent,agent_06,2.402483,3.133358
1.1500,agent,agent_07,3.325903,5.216880
1.1500,agent,agent_08,5.332582,4.713725
1.1500,agent,agent_09,2.694871,3.646754
1.1500,agent,agent_10,4.284781,5.333617
1.1500,agent,agent_11,2.248651,4.530809
1.1500,agent,agent_12,2.273673,3.539080
1.1500,agent,agent_13,4.974085,3.132697
1.1500,agent,agent_14,2.407304,4.845489
1.1500,agent,agent_15,2.505061,2.861275
1.1500,cargo,cargo_0,3.780949,3.806474
1.2000,agent,agent_00,4.265572,2.575152
1.2000,agent,agent_01,2.795355,3.107393
1.2000,agent,agent_02,5.362214,4.193460
1.2000,agent,agent_03,2.113518,3.993009
1.2000,agent,agent_04,4.959328,5.587558
1.2000,agent,agent_05,5.289244,3.545544
1.2000,agent,agent_06,2.405252,3.137054
1.2000,agent,agent_07,3.328239,5.209006
1.2000,agent,agent_08,5.324442,4.698233
1.2000,agent,agent_09,2.705465,3.656256
1.2000,agent,agent_10,4.273034,5.320645
1.2000,agent,agent_11,2.265157,4.524997
1.2000,agent,agent_12,2.290925,3.536144
1.2000,agent,agent_13,4.970550,3.132818
1.2000,agent,agent_14,2.423416,4.838659
1.2000,agent,agent_15,2.515729,2.866993
1.2000,cargo,cargo_0,3.776505,3.806581
1.2500,agent,agent_00,4.256924,2.590366
1.2500,agent,agent_01,2.809107,3.108954
1.2500,agent,agent_02,5.345324,4.188882
1.2500,agent,agent_03,2.127514,3.996079
1.2500,agent,agent_04,4.946112,5.576086
1.2500,agent,agent_05,5.278978,3.549094
1.2500,agent,agent_06,2.410022,3.142452
1.2500,agent,agent_07,3.329736,5.200357
1.2500,agent,agent_08,5.316381,4.682701
1.2500,agent,agent_09,2.715657,3.665721
1.2500,agent,agent_10,4.261380,5.307591
1.2500,agent,agent_11,2.281681,4.519234
1.2500,agent,agent_12,2.296661,3.536952
1.2500,agent,agent_13,4.968390,3.132360
1.2500,agent,agent_14,2.439470,4.831692
1.2500,agent,agent_15,2.520234,2.864673
1.2500,cargo,cargo_0,3.771380,3.806578
1.3000,agent,agent_00,4.248387,2.605643
1.3000,agent,agent_01,2.822325,3.110835
1.3000,agent,agent_02,5.328307,4.184796
1.3000,agent,agent_03,2.138859,3.997969
1.3000,agent,agent_04,4.932897,5.564614
1.3000,agent,agent_05,5.268957,3.552560
1.3000,agent,agent_06,2.415748,3.147927
1.3000,agent,agent_07,3.330692,5.191620
1.3000,agent,agent_08,5.308141,4.667262
1.3000,agent,agent_09,2.725423,3.674999
1.3000,agent,agent_10,4.250234,5.294099
1.3000,agent,agent_11,2.298194,4.513439
1.3000,agent,agent_12,2.302485,3.537736
1.3000,agent,agent_13,4.965798,3.132479
1.3000,agent,agent_14,2.455565,4.824822
1.3000,agent,agent_15,2.525360,2.863127
1.3000,cargo,cargo_0,3.766459,3.806590
1.3500,agent,agent_00,4.239917,2.620664
1.3500,agent,agent_01,2.835964,3.111893
1.3500,agent,agent_02,5.311228,4.180984
1.3500,agent,agent_03,2.150063,3.999890
1.3500,agent,agent_04,4.919656,5.553172
1.3500,agent,agent_05,5.259096,3.556028
1.3500,agent,agent_06,2.421481,3.153427
1.3500,agent,agent_07,3.331321,5.183547
1.3500,agent,agent_08,5.299715,4.651924
1.3500,agent,agent_09,2.734685,3.684245
1.3500,agent,agent_10,4.239295,5.280439
1.3500,agent,agent_11,2.314801,4.507920
1.3500,agent,agent_12,2.308298,3.538434
1.3500,agent,agent_13,4.962781,3.132357
1.3500,agent,agent_14,2.471645,4.817918
1.3500,agent,agent_15,2.530467,2.861735
1.3500,cargo,cargo_0,3.762231,3.806580
1.4000,agent,agent_00,4.232679,2.635108
1.4000,agent,agent_01,2.851232,3.111595
1.4000,agent,agent_02,5.294126,4.177273
1.4000,agent,agent_03,2.160899,4.001629
1.4000,agent,agent_04,4.906418,5.541727
1.4000,agent,agent_05,5.249491,3.559338
1.4000,agent,agent_06,2.427588,3.158349
1.4000,agent,agent_07,3.332051,5.175935
1.4000,agent,agent_08,5.291504,4.636470
1.4000,agent,agent_09,2.743754,3.692768
1.4000,agent,agent_10,4.228468,5.266691
1.4000,agent,agent_11,2.331386,4.502336
1.4000,agent,agent_12,2.313908,3.539058
1.4000,agent,agent_13,4.960720,3.130053
1.4000,agent,agent_14,2.487878,4.811381
1.4000,agent,agent_15,2.535399,2.860379
1.4000,cargo,cargo_0,3.759166,3.806346
1.4500,agent,agent_00,4.225516,2.649085
1.4500,agent,agent_01,2.867275,3.110099
1.4500,agent,agent_02,5.277023,4.173565
1.4500,agent,agent_03,2.171898,4.003293
1.4500,agent,agent_04,4.893178,5.530283
1.4500,agent,agent_05,5.239544,3.562837
1.4500,agent,agent_06,2.433508,3.163106
1.4500,agent,agent_07,3.332857,5.168206
