iteration,time,cargo_id,strict_coverage,legacy_coverage,min_signed_clearance,max_penetration,agents_inside,contacts,net_force_x,net_force_y,net_torque
99,4.9500,cargo_0,0.887500,0.887500,0.078869,0.051131,0,3,9.810098,8.228177,13.813261
100,5.0000,cargo_0,0.893750,0.893750,0.079972,0.050028,0,3,8.803144,0.484638,10.895568
101,5.0500,cargo_0,0.900000,0.900000,0.079819,0.050181,0,3,7.644869,10.066460,13.371298
102,5.1000,cargo_0,0.900000,0.900000,0.078999,0.051001,0,3,10.103615,6.788735,13.384933
103,5.1500,cargo_0,0.906250,0.906250,0.089524,0.040476,0,3,2.276200,7.813034,13.716352
104,5.2000,cargo_0,0.906250,0.906250,0.087094,0.042906,0,3,7.671485,9.452211,13.841187
105,5.2500,cargo_0,0.912500,0.912500,0.085719,0.044281,0,3,7.127513,9.833527,13.427114
106,5.3000,cargo_0,0.912500,0.912500,0.084422,0.045578,0,3,7.746611,10.479881,13.129733
107,5.3500,cargo_0,0.912500,0.912500,0.083063,0.046937,0,3,8.714868,10.848348,14.245312
108,5.4000,cargo_0,0.925000,0.925000,0.082139,0.047861,0,3,8.681393,10.941120,14.390886
109,5.4500,cargo_0,0.925000,0.925000,0.081578,0.048422,0,3,9.174579,12.366080,14.014874
110,5.5000,cargo_0,0.918750,0.918750,0.081081,0.048919,0,3,9.845182,12.543616,14.473277
111,5.5500,cargo_0,0.918750,0.918750,0.080842,0.049158,0,3,9.543846,7.632732,13.952353
112,5.6000,cargo_0,0.918750,0.918750,0.080239,0.049761,0,3,17.047985,12.015339,10.200098
113,5.6500,cargo_0,0.925000,0.925000,0.082321,0.047679,0,4,16.222146,14.513039,11.233166
114,5.7000,cargo_0,0.925000,0.925000,0.081737,0.048263,0,4,18.755005,16.713526,10.271685
115,5.7500,cargo_0,0.931250,0.931250,0.082136,0.047864,0,4,20.399570,20.834217,10.721254
116,5.8000,cargo_0,0.931250,0.931250,0.082829,0.047171,0,4,12.312570,18.158373,9.095147
117,5.8500,cargo_0,0.943750,0.943750,0.082692,0.047308,0,4,13.531779,18.990734,10.464087
118,5.9000,cargo_0,0.956250,0.956250,0.082316,0.047684,0,4,14.326977,18.825778,10.774174
119,5.9500,cargo_0,0.962500,0.962500,0.081986,0.048014,0,4,15.794055,19.384188,11.648309
120,6.0000,cargo_0,0.962500,0.962500,0.082006,0.047994,0,4,14.909476,18.449708,11.624119
121,6.0500,cargo_0,0.962500,0.962500,0.082325,0.047675,0,4,15.130254,18.840723,11.615698
122,6.1000,cargo_0,0.968750,0.968750,0.082309,0.047691,0,4,14.865820,19.053124,11.753005
123,6.1500,cargo_0,0.968750,0.968750,0.082186,0.047814,0,4,15.356024,20.545363,11.091781
124,6.2000,cargo_0,0.975000,0.975000,0.082553,0.047447,0,4,14.107573,18.233461,12.067519
125,6.2500,cargo_0,0.981250,0.981250,0.093004,0.036996,0,4,6.735374,20.924135,11.447195
126,6.3000,cargo_0,0.981250,0.981250,0.099540,0.030460,0,4,1.761822,21.778741,11.465238
127,6.3500,cargo_0,0.975000,0.975000,0.099846,0.030154,0,4,0.319581,21.438673,11.801082
128,6.4000,cargo_0,0.981250,0.981250,0.100160,0.029840,0,4,-0.454848,21.324063,11.509985
129,6.4500,cargo_0,0.981250,0.981250,0.100182,0.029818,0,4,2.129085,21.398407,11.934239
130,6.5000,cargo_0,0.981250,0.981250,0.100614,0.029386,0,4,4.377570,21.759018,12.147666
131,6.5500,cargo_0,0.981250,0.981250,0.100344,0.029656,0,4,5.200469,21.920070,12.030325
132,6.6000,cargo_0,0.975000,0.975000,0.099803,0.030197,0,4,6.631327,22.606201,12.473058
133,6.6500,cargo_0,0.975000,0.975000,0.098385,0.031615,0,4,8.070564,23.291535,12.109121
134,6.7000,cargo_0,0.975000,0.975000,0.097100,0.032900,0,4,8.189721,23.274256,12.109037
135,6.7500,cargo_0,0.981250,0.981250,0.095702,0.034298,0,4,8.687683,22.806199,12.557735
136,6.8000,cargo_0,0.981250,0.981250,0.094336,0.035664,0,4,12.406645,24.086446,10.970285
137,6.8500,cargo_0,0.981250,0.981250,0.093063,0.036937,0,4,10.609163,20.691231,11.598858
138,6.9000,cargo_0,0.981250,0.981250,0.092288,0.037712,0,4,10.578658,21.541465,11.670109
139,6.9500,cargo_0,0.987500,0.987500,0.091860,0.038140,0,4,12.095719,24.553951,10.707622
140,7.0000,cargo_0,0.993750,0.993750,0.092562,0.037438,0,4,9.476882,27.025166,12.739427
141,7.0500,cargo_0,0.993750,0.993750,0.092578,0.037422,0,4,8.480160,24.372206,13.925941
142,7.1000,cargo_0,0.993750,0.993750,0.092253,0.037747,0,4,7.728084,20.897128,13.076483
143,7.1500,cargo_0,0.993750,0.993750,0.092712,0.037288,0,5,11.545568,23.012108,11.328180
144,7.2000,cargo_0,0.993750,0.993750,0.092996,0.037004,0,4,8.068504,30.352065,11.246828
145,7.2500,cargo_0,0.993750,0.993750,0.093466,0.036534,0,4,7.267199,24.459471,12.402658
146,7.3000,cargo_0,0.993750,0.993750,0.093724,0.036276,0,4,6.247249,25.073495,13.605672
147,7.3500,cargo_0,1.000000,1.000000,0.093785,0.036215,0,4,5.395196,24.223770,14.904326
