case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
high_aspect__seed_000,high_aspect,0,corner,84.24872770161949,2.2,0.3,0.6,,-121.93613659280355,1.6194134740701651,3.7000000000000006,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,354,11.937935599999037,29.653368208824027,0.12714193558176104,0.8256284016355673,0.0868856912164149,3.2184244751918785,0.004491018053507129,False,0,0,0
polygon32__seed_000,polygon32,0,random,16.111286554303035,1.5,0.45,0.8,32,-121.93613659280355,1.2749532666134789,4.094237597726095,False,False,False,SOLVER_FAILURE,False,False,SOLVER_FAILURE,426,24.703372199990554,17.244609219795624,0.0899050025931942,0.775961215163478,0.07308397934170216,11.068064779557616,0.02538424016406654,False,1,1,39
circle__seed_001,circle,1,edge,17.85163620845264,1.5,0.45,0.6,96,-84.16317165138723,1.1600000000000008,3.642784142067513,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,417,20.4589065000182,20.38232101992494,0.08657955710517545,0.9796815375967087,0.01772448080444863,0.018610278307227543,0.011979039346986603,True,0,0,0
rectangle__seed_001,rectangle,1,corner,40.78965765634334,0.8,0.15,0.8,,-84.16317165138723,1.3567977004697496,3.74,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,339,16.09980440000072,21.056156433800204,0.15332334659483782,0.7508139104078185,0.1637143703257131,12.217217320823782,0.012973873954680942,False,0,0,0
ellipse24__seed_001,ellipse24,1,random,272.8856409512105,2.2,0.3,0.4,24,-84.16317165138723,1.4399999999999997,3.6332971918598282,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,462,23.893476900004316,19.33582131782238,0.07994856040020161,0.9874825032670317,0.012770021812171444,1.088891011045804,0.010313183425258499,False,0,0,0
l_shape__seed_001,l_shape,1,center,336.39350147859767,1.5,0.45,0.6,,-84.16317165138723,1.6122034611053278,4.56,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,354,17.93806980003137,19.734564752300212,0.07592807821913161,0.9969887933154569,0.007090816759349369,16.61457140906469,0.015288578861418295,True,0,0,0
u_shape__seed_001,u_shape,1,edge,69.6096216381834,0.8,0.15,0.8,8,-84.16317165138723,1.70293863659264,6.3,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,333,21.035466199973598,15.830407409768648,0.056835938824963975,0.8285414875519899,0.038409682159767464,2.8208521258646906,0.009825368103518722,False,0,0,0
c_shape__seed_001,c_shape,1,corner,63.03263739504365,2.2,0.3,0.4,8,-84.16317165138723,1.70293863659264,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,366,17.30507940001553,21.1498596186546,0.09173348195768607,0.926011855773258,0.03926490123223614,13.660787758049642,0.01291640109469211,False,0,0,0
star10__seed_001,star10,1,random,270.02920599634257,1.5,0.45,0.6,10,-84.16317165138723,1.331479122813215,4.695826984435488,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,405,22.35672089998843,18.115357874338788,0.08591248818767966,0.9988290584579236,0.020264216943105044,7.635303805885489,0.010132002783209304,False,0,0,0
convex_random__seed_001,convex_random,1,center,243.95703031309742,0.8,0.15,0.8,8,-84.16317165138723,1.555030956886214,4.3435245265930575,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,333,14.925375199993141,22.31099691216828,0.1110795659411784,0.9998579394524737,0.011026402739463332,3.7328069324834594,0.022383545009404454,True,0,0,15
concave_random7__seed_001,concave_random7,1,edge,194.5565936680401,2.2,0.3,0.4,7,-84.16317165138723,1.0497785226238223,2.964503111909454,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,408,23.313087800052017,17.500899215894073,0.06789673911011351,0.9589374088190917,0.02008131327292257,4.014167131585103,0.007638811231854947,False,0,0,0
concave_random15__seed_001,concave_random15,1,corner,152.58934367155675,1.5,0.45,0.6,15,-84.16317165138723,1.3369572413545319,5.0732413321583785,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,348,16.104527699993923,21.60882991931091,0.09908728122742248,0.871349926118519,0.06059508275992092,31.306230665611107,0.013728423152167518,False,0,0,0
high_aspect__seed_001,high_aspect,1,random,196.75899415511842,0.8,0.15,0.8,,-84.16317165138723,1.6194134740701647,3.6999999999999993,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,402,17.643832300032955,22.784165773285498,0.572057989691829,0.990884334505147,0.07777397530328088,9.797089320642648,0.0064432125210164,True,0,0,0
polygon32__seed_001,polygon32,1,center,302.32732255598563,2.2,0.3,0.4,32,-84.16317165138723,1.2610741676934616,4.148777522806908,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,354,15.160512899979949,23.35013349056734,0.07772023208443928,0.9597823899711262,0.022733869690860168,2.173134855528918,0.016692472192192415,True,0,0,18
circle__seed_002,circle,2,corner,273.3898459324699,2.2,0.3,0.8,96,150.85658010298832,1.1600000000000001,3.642784142067513,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,480,22.125228300050367,21.694691394389242,0.08316415027279603,0.9196208990214694,0.03552275406364859,0.49971864655416876,0.01175641411456707,False,0,0,0
rectangle__seed_002,rectangle,2,random,241.03637329924862,1.5,0.45,0.4,,150.85658010298832,1.3567977004697491,3.739999999999998,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,330,12.508494800014887,26.382071166516955,0.08124236668951622,0.9996168020306677,0.006726448857249743,7.385342748196103,0.013920371307980184,False,0,0,0
ellipse24__seed_002,ellipse24,2,center,282.30859301854144,0.8,0.15,0.6,24,150.85658010298832,1.44,3.6332971918598282,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,372,17.40398990001995,21.37440909452456,0.4447633830466002,0.995843783074249,0.04067711887373665,8.198946611279917,0.013668276362281434,True,0,0,0
l_shape__seed_002,l_shape,2,edge,239.30054247397902,2.2,0.3,0.8,,150.85658010298832,1.6122034611053282,4.56,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,441,37.61949030001415,11.722646864246167,0.06826245131578614,0.7768085964771821,0.05533843995428324,21.408700401499306,0.012565557456479498,False,0,0,0
u_shape__seed_002,u_shape,2,corner,199.77010392899552,1.5,0.45,0.4,8,150.85658010298832,1.7029386365926402,6.300000000000001,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,435,20.81296549999388,20.900433434155644,0.07805090670897057,0.8664058160519957,0.04498351715481215,0.2929455858071694,0.01122124966632368,False,0,0,0
c_shape__seed_002,c_shape,2,random,278.39617554429293,0.8,0.15,0.6,8,150.85658010298832,1.702938636592641,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,CAGE_INFEASIBLE,336,26.351581000024453,12.750658110406667,0.08035066551072226,0.9853593310938125,0.02505768601673089,28.471783589756956,0.014040007282062478,False,0,0,0
star10__seed_002,star10,2,center,347.9019967663498,2.2,0.3,0.8,10,150.85658010298832,1.3314791228132152,4.69582698443549,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,342,18.154890300007537,18.837899560310646,0.08164082994794623,0.9596146471311082,0.023933588636288063,7.730924769888741,0.018993439591180994,True,0,0,0
