alpha,seed,diameter_m,target_distance_m,sampler_attempts,goal_angle_deg,success,failure_reasons,J,J_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,implied_direction_gate_deg,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,barrier_scalings,margin_relaxations,solver_fallbacks,solver_infeasible,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,fps
0.4,8,2.5455844122715714,1.0182337649086286,1,357.6946179453914,True,,1.1323000424137597,0.44480946573810265,1.1120236643452566,0.99828129139016,3.3597037048154084,0.07081001129358225,0.027816799534215564,7.612562677616135,0.0,1.0,0.96875,0.28801295198752946,0.28,0.0954974199844898,0.03450258001551021,0.09663794800915851,0,0,0,0,5584,0,89,285,285,309,HOLD,349,settled,True,17.45,18.46073912821788
0.4,9,2.5455844122715714,1.0182337649086286,1,55.21178356827038,False,"G500: 9 scaled-barrier event(s), smallest factor 0.832; the contract allows 0",1.3006436341208172,0.510941074218858,1.277352685547145,0.9857675665533575,9.678178979950218,0.2410857877775845,0.09470744188068381,6.622516045164754,-0.21388164460586548,1.0,1.0,0.2803562643397952,0.28,0.0788467328246516,0.051153267175348405,0.09832446483397692,9,0,0,0,4848,0,70,71,172,225,HOLD,303,settled,True,15.15,17.2322727004074
0.4,10,2.5455844122715714,1.0182337649086286,1,2.949873175959752,True,,1.1498993015683723,0.45172310767815044,1.129307769195376,0.9992849838848886,2.1668129673705843,0.043815515057288285,0.017212359898994344,7.495377547403145,0.0,1.0,0.99375,0.28172523257427584,0.28,0.09655752912920512,0.03344247087079488,0.09782769884565441,0,0,0,0,4816,0,69,205,230,260,HOLD,301,settled,True,15.05,20.525241614824363
0.4,11,2.5455844122715714,1.0182337649086286,1,35.98273540288894,True,,1.2972278908188213,0.5095992435235059,1.2739981088087649,0.9833547339028019,10.46856756823775,0.2396909487614518,0.09415949736569992,6.640032239939734,-0.7092722731426946,1.0,1.0,0.29319798416759985,0.28,0.08388759730013248,0.04611240269986752,0.09862527433899483,0,0,0,0,3984,0,76,77,168,208,HOLD,249,settled,True,12.450000000000001,21.776767320227698
0.6,0,2.5455844122715714,1.5273506473629428,1,213.89921974319353,True,,2.0867005994639682,0.8197334134372253,1.366222355728709,0.9954117698544436,5.49068363050609,0.3404409028831905,0.13373781723443046,4.122194521119675,-0.0246685035487479,0.99375,0.99375,0.2959161371533816,0.28,0.07008366037832378,0.05991633962167622,0.10466012990411254,0,0,0,0,4416,0,123,124,192,235,HOLD,276,settled,True,13.8,20.8356351929098
0.6,1,2.5455844122715714,1.5273506473629428,1,67.05487627201978,False,"G500: 11 scaled-barrier event(s), smallest factor 0.062; the contract allows 0",1.8886094264726923,0.7419158513731539,1.2365264189552563,0.9885996860343894,8.65983251049035,0.2876429764589353,0.11299683289710864,4.555430165915822,0.0,0.86875,0.86875,0.2803323706273474,0.28,0.07840829521640824,0.05159170478359176,0.10167710954851794,11,0,0,0,4512,0,67,72,160,241,HOLD,282,settled,True,14.100000000000001,20.78088034028488
0.6,2,2.5455844122715714,1.5273506473629428,1,78.6348106982665,False,"G500: 3 scaled-barrier event(s), smallest factor 0.676; the contract allows 0",1.7358596589210236,0.6819100755617906,1.1365167926029844,0.9996478227458304,1.5206561696343126,0.10370505953054981,0.0407391949096702,4.957254953900049,0.4223205802799882,1.0,1.0,0.28011723030242597,0.28,0.08678045167770243,0.043219548322297574,0.09366173266101079,3,0,0,0,9088,0,81,146,339,527,HOLD,568,settled,True,28.400000000000002,20.615633259354365
0.6,3,2.5455844122715714,1.5273506473629428,1,30.576349067927193,False,"G500: 31 scaled-barrier event(s), smallest factor 0.211; the contract allows 0",1.9405693903367467,0.7623276529278654,1.270546088213109,0.999697080689661,1.4103018433577155,0.18140881966433497,0.07126411475094376,4.433208288522876,0.0,0.925,0.91875,0.2826130913139887,0.28,0.07714394082985088,0.05285605917014913,0.09964439526649198,31,0,0,0,5456,0,77,78,206,301,HOLD,341,settled,True,17.05,20.653019401787464
0.6,4,2.5455844122715714,1.5273506473629428,1,157.4812119101344,True,,1.9127472892889406,0.7513980994179982,1.2523301656966637,0.9904597818799542,7.92068350041648,0.266119442657085,0.10454159028244964,4.497823895265542,-0.1702820056863433,1.0,1.0,0.2838113235943302,0.28,0.07691517665444243,0.05308482334555757,0.10148391367854617,0,0,0,0,4592,0,82,118,200,246,HOLD,287,settled,True,14.350000000000001,20.764845819284428
0.6,5,2.5455844122715714,1.5273506473629428,1,96.09942625178446,True,,1.8608451336961862,0.7310090070969782,1.2183483451616304,0.9997048023304154,1.3922100891575624,0.06962150082939088,0.027349908529359514,4.6235451905264435,0.032720162551813245,1.0,1.0,0.28067837550651015,0.28,0.07281541440004416,0.057184585599955845,0.09672894564952028,0,0,0,0,8176,0,73,223,391,471,HOLD,511,settled,True,25.55,20.713287469331195
0.6,6,2.5455844122715714,1.5273506473629428,1,275.9430288965318,True,,1.845814974621776,0.7251046029837405,1.2085076716395675,0.999405085457317,1.9764528391929725,0.06369778034113857,0.02502285134763902,4.661276878829494,0.0,1.0,1.0,0.2805265556863271,0.28,0.08778765803407795,0.04221234196592205,0.09755054164954177,0,0,0,0,7616,0,148,297,387,436,HOLD,476,settled,True,23.8,21.287200713697626
0.6,7,2.5455844122715714,1.5273506473629428,1,201.32050447239965,True,,1.9505906230606975,0.7662643649361732,1.277107274893622,0.9967358312909316,4.630651887454649,0.157991115558883,0.06206477176606312,4.410387305826465,0.02158473993833721,0.95625,0.95625,0.28577845488390025,0.28,0.08366917888693515,0.04633082111306486,0.09998242324913467,0,0,0,0,4352,0,72,109,179,221,HOLD,272,settled,True,13.600000000000001,21.20564425331587
0.6,8,2.5455844122715714,1.5273506473629428,1,357.6946179453914,True,,1.7390496775079176,0.683163233214515,1.1386053886908583,0.9997250402744658,1.3436375262202185,0.07081001129358225,0.027816799534215564,4.948138938275436,0.0,1.0,0.975,0.2803935064078553,0.28,0.09345270431391572,0.03654729568608428,0.09805130945940989,0,0,0,0,6416,0,89,285,308,360,HOLD,401,settled,True,20.05,21.185674948208845
0.6,9,2.5455844122715714,1.5273506473629428,1,55.21178356827038,False,"G500: 6 scaled-barrier event(s), smallest factor 0.832; the contract allows 0",1.964070716223739,0.7715598456509583,1.2859330760849306,0.980870302485943,11.225002579014088,0.38978722981570557,0.15312288523478032,4.380057989817103,0.6161448753311007,1.0,1.0,0.28247133276893,0.28,0.0788467328246516,0.051153267175348405,0.09832446483397692,6,0,0,0,8032,0,70,71,217,364,HOLD,502,settled,True,25.1,19.429748417928245
0.6,10,2.5455844122715714,1.5273506473629428,1,2.949873175959752,True,,1.7382114091580105,0.6828339303063631,1.1380565505106053,0.9994079038007754,1.9717652021247667,0.06011122030677973,0.023613917502401355,4.950531178136577,0.0,1.0,0.9625,0.28157251332827204,0.28,0.09655752912920512,0.03344247087079488,0.0980446181019198,0,0,0,0,5472,0,69,205,259,302,HOLD,342,settled,True,17.1,21.146701008909744
0.6,11,2.5455844122715714,1.5273506473629428,1,35.98273540288894,True,,1.9851241465061176,0.7798304141620184,1.2997173569366973,0.9723163091011894,13.513151828129782,0.4890924172569189,0.19213364714960426,4.3335155912029055,-0.40250321575598336,1.0,1.0,0.29319798416759985,0.28,0.08388759730013248,0.04611240269986752,0.09931508446283631,0,0,0,0,4864,0,76,77,206,263,HOLD,304,settled,True,15.200000000000001,21.027611778962683
0.8,0,2.5455844122715714,2.036467529817257,1,213.89921974319353,False,G500: J=2.8554 m overshot L=2.0365 m by more than 40%: the team did not stop,2.8553945080347902,1.1217048997745698,1.4021311247182122,0.989465764734029,8.323790137464995,0.42024992928626537,0.16508976377304738,3.011256305627564,-0.34794753401518175,0.9625,0.9625,0.2959161371533816,0.28,0.07008366037832378,0.05991633962167622,0.10466012990411254,0,0,0,0,5200,0,123,124,220,284,HOLD,325,settled,True,16.25,19.998942578985254
0.8,1,2.5455844122715714,2.036467529817257,1,67.05487627201978,False,"G500: 3 scaled-barrier event(s), smallest factor 0.797; the contract allows 0",2.675014542351247,1.050844957038442,1.3135561962980524,0.9877162513327964,8.989771632381899,0.4231911754937422,0.1662451944055174,3.2145160777392725,0.0,0.875,0.875,0.2803633391778034,0.28,0.07836920331158925,0.05163079668841075,0.10167710954851794,3,0,0,0,5792,0,67,72,192,322,HOLD,362,settled,True,18.1,20.283158154736547
0.8,2,2.5455844122715714,2.036467529817257,1,78.6348106982665,False,"G500: 3 scaled-barrier event(s), smallest factor 0.676; the contract allows 0",2.3162422551180852,0.9099058919248995,1.1373823649061243,0.9998469111000677,1.002570731763747,0.10370505953054981,0.0407391949096702,3.7130768787890123,0.4223205802799882,1.0,1.0,0.28011723030242597,0.28,0.08678045167770243,0.043219548322297574,0.09710800718380967,3,0,0,0,9920,0,81,146,401,580,HOLD,620,settled,True,31.0,20.621674640630715
0.8,3,2.5455844122715714,2.036467529817257,1,30.576349067927193,False,"G500: 31 scaled-barrier event(s), smallest factor 0.211; the contract allows 0",2.5880383043424424,1.0166774638728193,1.270846829841024,0.9995892133997012,1.6423307806978993,0.18140881966433497,0.07126411475094376,3.3226656493649753,-0.0017371677595466528,0.91875,0.91875,0.2826130913139887,0.28,0.07714394082985088,0.05285605917014913,0.09964439526649198,31,0,0,0,6752,0,77,78,264,382,HOLD,422,settled,True,21.1,19.941250147308192
0.8,4,2.5455844122715714,2.036467529817257,2,50.18394608479205,False,"G500: 12 scaled-barrier event(s), smallest factor 0.289; the contract allows 0",2.533009287243706,0.9950600243436265,1.243825030429533,0.9791665979927197,11.71587177221282,0.5252928210801201,0.20635450883020262,3.394933453625616,0.0,1.0,1.0,0.281087396811796,0.28,0.08329471078773443,0.04670528921226558,0.09682540305422785,12,0,0,0,7520,0,58,101,288,429,HOLD,470,settled,True,23.5,20.653536607023167
