shape,seed,grid_resolution,complete_30s,abort_reason,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_E_numerical_a_priori,B_E_diameter,posthoc_J_bound,B_J_prior_P0H_rigorousE,B_J_prior_numerical_a_priori,B_J_geom,posthoc_bound_below_geom,prior_beats_geom_certificate,prior_beats_geom_numerical,wall_seconds,config_sha256,code_sha
l_shape,5,20,True,,True,applicable_post_hoc,,,0,0.9554571918060512,0.1682207527090811,0.010907327546684227,3.859951016187838e-08,0.011488195989369137,0.18847328254891077,0.1702700923536529,0.11506300851628329,4.796306863277367,0.029323527099185044,0.17366464240960006,0.12686459488686602,0.22951077763729585,True,True,True,2293.419756699999,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,8,20,True,,True,applicable_post_hoc,,,0,1.0296566246262293,0.15577480071531147,0.011597932977816168,6.326834332368249e-08,0.010686198091641098,0.22117818254330193,0.1702700923536529,0.11546688087364337,4.796306863277367,0.031600768456011945,0.17594197112781623,0.12948429353668828,0.22951077763729585,True,True,True,2408.8012562000004,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,11,20,True,,True,applicable_post_hoc,,,0,1.0218737891171732,0.16270114389205914,0.011409885143904673,3.958357400799654e-08,0.013377250931926194,0.19784191162259782,0.1702700923536529,0.11338273560281462,4.796306863277367,0.03136188897619042,0.17570295763170612,0.127478512246677,0.22951077763729585,True,True,True,2310.3959289000013,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,17,20,True,,True,applicable_post_hoc,,,0,0.9801540226843861,0.1645964547772938,0.01092288935492198,2.863908220185283e-08,0.01368377977199964,0.1906313273366139,0.1702700923536529,0.11348348756756477,4.796306863277367,0.03008147765948805,0.17442252832810523,0.12628349221323798,0.22951077763729585,True,True,True,2313.5055764999997,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,23,20,True,,True,applicable_post_hoc,,,0,0.9286163970697232,0.17623607779235217,0.010293482842533518,1.778409935922788e-07,0.01103089358806705,0.16073658339943586,0.1702700923536529,0.11618248830925157,4.796306863277367,0.028499886730489143,0.1728407951377543,0.1269897509651337,0.22951077763729585,True,True,True,2188.4062006000004,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,29,20,True,,True,applicable_post_hoc,,,0,0.8998472184145594,0.15597890409629844,0.010462767428661444,2.8982370046491097e-08,0.01243607521945173,0.15428734258436125,0.1702700923536529,0.11730703009756756,4.796306863277367,0.027616818995926704,0.17195795943979714,0.1270602097626714,0.22951077763729585,True,True,True,2391.5814124999997,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,31,20,True,,True,applicable_post_hoc,,,0,0.9849668538403417,0.17906690023957883,0.010896250453584808,2.076692432035809e-07,0.01350223217271874,0.17019859192811315,0.1702700923536529,0.1150069310273449,4.796306863277367,0.0302293377996795,0.17457050083706446,0.12772291540859715,0.22951077763729585,True,True,True,2232.7201373000007,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,37,20,True,,True,applicable_post_hoc,,,0,0.9337002522559562,0.1677844698690416,0.010452285472219106,5.452965413545939e-08,0.011609774696695779,0.17674630523689888,0.1702700923536529,0.11264486009324218,4.796306863277367,0.028655808443352165,0.17299689183631947,0.12414693598209804,0.22951077763729585,True,True,True,2273.8940219000015,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
rectangle,2,20,True,,True,applicable_post_hoc,,,0,0.8140302496679026,0.1313609527721823,0.00891869479882382,1.1016278175178137e-07,0.008546548134926162,0.18663226069058034,0.12870481574827167,0.083016192464499,3.7668697825490614,0.024983118952245954,0.13408847232175972,0.09535739666437301,0.18025060482900776,True,True,True,1695.4617693,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,c178f766e0394c345db5122cd765a5abba96bc8f
rectangle,5,20,True,,True,applicable_post_hoc,,,0,0.8262137250989208,0.11949973331337016,0.009101085232524656,2.478599912419531e-08,0.008336863047766416,0.20042782608313306,0.12870481574827167,0.0837334484890156,3.7668697825490614,0.025356963981329417,0.13446244231926313,0.0963393976191396,0.18025060482900776,True,True,True,1856.2778106999995,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,c178f766e0394c345db5122cd765a5abba96bc8f
