cargo_id,error_type,value
cargo_0,normal_error_deg,16.8242302924
cargo_0,normal_error_deg,14.991046544
cargo_0,normal_error_deg,13.0727439797
cargo_0,normal_error_deg,16.1932845302
cargo_0,normal_error_deg,16.333791483
cargo_0,normal_error_deg,13.688098308
cargo_0,normal_error_deg,15.6609735549
cargo_0,normal_error_deg,11.6269822862
cargo_0,normal_error_deg,13.7313127757
cargo_0,normal_error_deg,14.436901692
cargo_0,normal_error_deg,12.4640264451
cargo_0,normal_error_deg,16.4980177138
cargo_0,normal_error_deg,14.3936872243
cargo_0,normal_error_deg,15.5431827527
cargo_0,normal_error_deg,12.8752595493
cargo_0,normal_error_deg,13.9162256985
cargo_0,normal_error_deg,8.46693898319
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,8.40806101681
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,2.78306101681
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,8.46693898319
cargo_0,normal_error_deg,13.9162256985
cargo_0,normal_error_deg,12.8752595493
cargo_0,normal_error_deg,15.5431827527
cargo_0,normal_error_deg,15.3262367752
cargo_0,normal_error_deg,12.6371317249
cargo_0,normal_error_deg,14.6145419133
cargo_0,normal_error_deg,16.3850180419
cargo_0,normal_error_deg,12.9621506496
cargo_0,normal_error_deg,15.4878682751
cargo_0,normal_error_deg,13.5104580867
cargo_0,normal_error_deg,11.7399819581
cargo_0,normal_error_deg,15.1628493504
cargo_0,normal_error_deg,17.844011114
cargo_0,normal_error_deg,15.796005078
cargo_0,normal_error_deg,11.9695647438
cargo_0,normal_error_deg,13.3298223857
cargo_0,normal_error_deg,14.7690386353
cargo_0,normal_error_deg,16.5080199931
cargo_0,normal_error_deg,16.1554352562
cargo_0,normal_error_deg,14.7951776143
cargo_0,normal_error_deg,13.3559613647
cargo_0,normal_error_deg,11.6169800069
cargo_0,normal_error_deg,14.0432995812
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,2.51064026827
cargo_0,normal_error_deg,2.34865168392
cargo_0,normal_error_deg,2.62972189058
cargo_0,normal_error_deg,8.90134831608
cargo_0,normal_error_deg,14.2452781094
cargo_0,normal_error_deg,12.3059436478
cargo_0,normal_error_deg,12.3059436478
cargo_0,normal_error_deg,14.2452781094
cargo_0,normal_error_deg,2.99527810942
cargo_0,normal_error_deg,2.62972189058
cargo_0,normal_error_deg,2.34865168392
cargo_0,normal_error_deg,2.51064026827
cargo_0,normal_error_deg,16.8181690628
cargo_0,normal_error_deg,14.2048106157
cargo_0,normal_error_deg,16.0232652526
cargo_0,normal_error_deg,11.5855035444
cargo_0,normal_error_deg,13.0972796039
cargo_0,normal_error_deg,13.9201893843
cargo_0,normal_error_deg,12.1017347474
cargo_0,normal_error_deg,10.9144964556
cargo_0,normal_error_deg,15.0277203961
cargo_0,normal_error_deg,12.7673343288
cargo_0,normal_error_deg,20.3264167811
cargo_0,normal_error_deg,13.2600153373
cargo_0,normal_error_deg,15.3412387781
cargo_0,normal_error_deg,10.9811766635
cargo_0,normal_error_deg,12.0162800649
cargo_0,normal_error_deg,13.6053605273
cargo_0,normal_error_deg,12.7837612219
cargo_0,normal_error_deg,11.5188233365
cargo_0,normal_error_deg,10.4837199351
cargo_0,normal_error_deg,14.5196394727
cargo_0,normal_error_deg,17.5069817729
cargo_0,normal_error_deg,12.3059436478
cargo_0,normal_error_deg,14.2452781094
cargo_0,normal_error_deg,8.90134831608
cargo_0,normal_error_deg,8.73935973173
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,2.51064026827
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,8.13564026827
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,8.73935973173
cargo_0,normal_error_deg,8.90134831608
cargo_0,normal_error_deg,14.2452781094
cargo_0,normal_error_deg,12.3059436478
cargo_0,normal_error_deg,17.0298535228
cargo_0,normal_error_deg,14.8803372341
cargo_0,normal_error_deg,11.1256120916
cargo_0,normal_error_deg,12.3055338314
cargo_0,normal_error_deg,13.7515865422
cargo_0,normal_error_deg,13.2446627659
cargo_0,normal_error_deg,11.3743879084
cargo_0,normal_error_deg,15.8194661686
cargo_0,normal_error_deg,14.3734134578
cargo_0,normal_error_deg,12.4309732149
cargo_0,normal_error_deg,14.5131543638
cargo_0,normal_error_deg,16.515561839
cargo_0,normal_error_deg,14.1474540835
cargo_0,normal_error_deg,10.114021602
cargo_0,normal_error_deg,10.9020136339
cargo_0,normal_error_deg,11.6173387652
cargo_0,normal_error_deg,0.34798636607
cargo_0,normal_error_deg,0.367338765153
cargo_0,normal_error_deg,11.5979863661
cargo_0,normal_error_deg,10.8826612348
cargo_0,normal_error_deg,15.5772454551
cargo_0,normal_error_deg,13.5539759669
cargo_0,normal_error_deg,20.1273167811
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,2.20283656748
cargo_0,normal_error_deg,1.70639365184
cargo_0,normal_error_deg,1.53255059167
cargo_0,normal_error_deg,9.54360634816
cargo_0,normal_error_deg,9.71744940833
cargo_0,normal_error_deg,14.2703060243
cargo_0,normal_error_deg,20.3082270277
cargo_0,normal_error_deg,20.3082270277
cargo_0,normal_error_deg,14.2703060243
cargo_0,normal_error_deg,9.71744940833
cargo_0,normal_error_deg,34.6875
cargo_0,normal_error_deg,1.53255059167
cargo_0,normal_error_deg,1.70639365184
cargo_0,normal_error_deg,2.20283656748
cargo_0,normal_error_deg,14.2771122548
