iteration,time,cargo_id,strict_coverage,legacy_coverage,min_signed_clearance,max_penetration,agents_inside,contacts,net_force_x,net_force_y,net_torque
173,8.6500,cargo_0,0.000000,0.000000,0.625000,0.000000,0,0,0.000000,0.000000,0.000000
174,8.7000,cargo_0,0.000000,0.000000,0.610000,0.000000,0,0,0.000000,0.000000,0.000000
175,8.7500,cargo_0,0.000000,0.000000,0.595000,0.000000,0,0,0.000000,0.000000,0.000000
176,8.8000,cargo_0,0.000000,0.000000,0.580000,0.000000,0,0,0.000000,0.000000,0.000000
177,8.8500,cargo_0,0.000000,0.000000,0.565000,0.000000,0,0,0.000000,0.000000,0.000000
178,8.9000,cargo_0,0.000000,0.000000,0.550000,0.000000,0,0,0.000000,0.000000,0.000000
179,8.9500,cargo_0,0.000000,0.000000,0.535000,0.000000,0,0,0.000000,0.000000,0.000000
180,9.0000,cargo_0,0.000000,0.000000,0.520000,0.000000,0,0,0.000000,0.000000,0.000000
181,9.0500,cargo_0,0.000000,0.000000,0.505000,0.000000,0,0,0.000000,0.000000,0.000000
182,9.1000,cargo_0,0.083333,0.087500,0.490000,0.000000,0,0,0.000000,0.000000,0.000000
183,9.1500,cargo_0,0.127778,0.137500,0.475000,0.000000,0,0,0.000000,0.000000,0.000000
184,9.2000,cargo_0,0.161111,0.162500,0.460000,0.000000,0,0,0.000000,0.000000,0.000000
185,9.2500,cargo_0,0.183333,0.187500,0.445000,0.000000,0,0,0.000000,0.000000,0.000000
186,9.3000,cargo_0,0.216667,0.212500,0.430000,0.000000,0,0,0.000000,0.000000,0.000000
187,9.3500,cargo_0,0.275000,0.275000,0.415000,0.000000,0,0,0.000000,0.000000,0.000000
188,9.4000,cargo_0,0.375000,0.393750,0.400000,0.000000,0,0,0.000000,0.000000,0.000000
189,9.4500,cargo_0,0.438889,0.431250,0.385000,0.000000,0,0,0.000000,0.000000,0.000000
190,9.5000,cargo_0,0.483333,0.475000,0.370000,0.000000,0,0,0.000000,0.000000,0.000000
191,9.5500,cargo_0,0.505556,0.512500,0.355000,0.000000,0,0,0.000000,0.000000,0.000000
192,9.6000,cargo_0,0.533333,0.525000,0.340000,0.000000,0,0,0.000000,0.000000,0.000000
193,9.6500,cargo_0,0.555556,0.550000,0.325000,0.000000,0,0,0.000000,0.000000,0.000000
194,9.7000,cargo_0,0.575000,0.581250,0.310000,0.000000,0,0,0.000000,0.000000,0.000000
195,9.7500,cargo_0,0.594444,0.600000,0.295000,0.000000,0,0,0.000000,0.000000,0.000000
196,9.8000,cargo_0,0.616667,0.625000,0.280000,0.000000,0,0,0.000000,0.000000,0.000000
197,9.8500,cargo_0,0.638889,0.637500,0.265000,0.000000,0,0,0.000000,0.000000,0.000000
198,9.9000,cargo_0,0.655556,0.662500,0.250000,0.000000,0,0,0.000000,0.000000,0.000000
199,9.9500,cargo_0,0.672222,0.675000,0.235000,0.000000,0,0,0.000000,0.000000,0.000000
200,10.0000,cargo_0,0.691667,0.700000,0.220000,0.000000,0,0,0.000000,0.000000,0.000000
201,10.0500,cargo_0,0.708333,0.706250,0.205000,0.000000,0,0,0.000000,0.000000,0.000000
202,10.1000,cargo_0,0.725000,0.718750,0.184346,0.000000,0,0,0.000000,0.000000,0.000000
203,10.1500,cargo_0,0.730556,0.731250,0.163017,0.000000,0,0,0.000000,0.000000,0.000000
204,10.2000,cargo_0,0.733333,0.731250,0.154128,0.005872,0,2,3.943689,3.681111,1.996175
205,10.2500,cargo_0,0.736111,0.737500,0.146306,0.013694,0,3,5.138835,1.159823,-0.795858
206,10.3000,cargo_0,0.736111,0.737500,0.146631,0.013369,0,3,-2.480481,0.670076,-0.117295
207,10.3500,cargo_0,0.736111,0.737500,0.146958,0.013042,0,3,-0.415314,1.185096,-0.768289
208,10.4000,cargo_0,0.736111,0.737500,0.146028,0.013972,0,3,7.973638,3.121028,-0.027366
209,10.4500,cargo_0,0.736111,0.737500,0.146440,0.013560,0,3,-2.941121,0.098411,0.222710
210,10.5000,cargo_0,0.736111,0.737500,0.146955,0.013045,0,3,0.139475,1.220231,0.533670
211,10.5500,cargo_0,0.733333,0.737500,0.146046,0.013954,0,3,8.255873,2.458818,0.917656
212,10.6000,cargo_0,0.733333,0.737500,0.146581,0.013419,0,3,-2.379673,-0.117217,0.243280
213,10.6500,cargo_0,0.733333,0.737500,0.147505,0.012495,0,4,-0.225567,2.954031,0.179148
214,10.7000,cargo_0,0.733333,0.731250,0.147278,0.012722,0,4,8.155398,5.637671,2.063201
215,10.7500,cargo_0,0.733333,0.731250,0.148165,0.011835,0,3,-1.565599,-2.563126,-0.233879
216,10.8000,cargo_0,0.733333,0.731250,0.148755,0.011245,0,3,1.875573,1.339094,0.461343
217,10.8500,cargo_0,0.752778,0.756250,0.149938,0.010062,0,3,3.015301,1.779948,0.959545
218,10.9000,cargo_0,0.797222,0.800000,0.150153,0.009847,0,2,0.741690,-2.303588,0.891923
219,10.9500,cargo_0,0.847222,0.850000,0.149751,0.010249,0,2,2.158793,0.388188,0.326487
220,11.0000,cargo_0,0.855556,0.856250,0.149648,0.010352,0,2,1.329360,-0.431275,-0.003844
221,11.0500,cargo_0,0.863889,0.862500,0.149831,0.010169,0,2,2.513001,1.488408,0.979852
222,11.1000,cargo_0,0.869444,0.868750,0.150031,0.009969,0,2,1.905274,0.763483,1.166886
223,11.1500,cargo_0,0.905556,0.906250,0.149844,0.010156,0,2,1.362319,0.002943,1.175949
224,11.2000,cargo_0,0.933333,0.931250,0.149831,0.010169,0,2,2.204162,0.577898,1.589095
225,11.2500,cargo_0,0.944444,0.943750,0.149913,0.010087,0,2,1.994591,-0.436561,2.236847
226,11.3000,cargo_0,0.952778,0.956250,0.149720,0.010280,0,2,1.249701,0.025030,1.976858
227,11.3500,cargo_0,0.961111,0.962500,0.149718,0.010282,0,2,2.296047,-0.191473,2.017829
228,11.4000,cargo_0,0.969444,0.968750,0.149870,0.010130,0,2,1.960674,-0.435872,2.241213
229,11.4500,cargo_0,0.975000,0.975000,0.149683,0.010317,0,2,1.143283,0.134008,1.676900
230,11.5000,cargo_0,0.980556,0.981250,0.149694,0.010306,0,2,2.332532,-0.459431,2.161538
231,11.5500,cargo_0,0.986111,0.987500,0.149878,0.010122,0,2,1.924596,0.089278,1.933563
232,11.6000,cargo_0,0.988889,0.987500,0.149672,0.010328,0,2,1.020397,0.192510,1.683432
233,11.6500,cargo_0,0.991667,0.993750,0.149680,0.010320,0,2,2.331002,-0.089166,1.934277
234,11.7000,cargo_0,0.997222,1.000000,0.149884,0.010116,0,2,1.886178,0.062144,1.947811
235,11.7500,cargo_0,1.000000,1.000000,0.149673,0.010327,0,2,0.839292,0.092035,1.354764
236,11.8000,cargo_0,1.000000,1.000000,0.149703,0.010297,0,2,2.287652,0.198514,1.760555
237,11.8500,cargo_0,1.000000,1.000000,0.149910,0.010090,0,2,1.825522,0.251304,1.834135
238,11.9000,cargo_0,1.000000,1.000000,0.149670,0.010330,0,2,0.939043,0.097557,1.147015
239,11.9500,cargo_0,1.000000,1.000000,0.149764,0.010236,0,2,2.414645,0.908701,0.623518
240,12.0000,cargo_0,1.000000,1.000000,0.149969,0.010031,0,2,1.802370,0.279170,0.606444
241,12.0500,cargo_0,1.000000,1.000000,0.149698,0.010302,0,2,0.789921,-0.103130,0.276309
242,12.1000,cargo_0,1.000000,1.000000,0.149716,0.010284,0,2,2.244045,0.827718,0.531898
243,12.1500,cargo_0,1.000000,1.000000,0.149885,0.010115,0,2,1.777556,0.286840,0.522823
244,12.2000,cargo_0,1.000000,1.000000,0.149666,0.010334,0,2,0.778072,-0.109814,0.258771
245,12.2500,cargo_0,1.000000,1.000000,0.149562,0.010438,0,3,2.356416,1.666738,0.739735
246,12.3000,cargo_0,1.000000,1.000000,0.149549,0.010451,0,3,2.128914,1.529045,0.797606
247,12.3500,cargo_0,1.000000,1.000000,0.149871,0.010129,0,3,0.750085,1.386133,0.501004
248,12.4000,cargo_0,1.000000,1.000000,0.149693,0.010307,0,3,2.273910,2.838200,1.160369
249,12.4500,cargo_0,1.000000,1.000000,0.149762,0.010238,0,3,2.443490,2.035880,3.026228
250,12.5000,cargo_0,1.000000,1.000000,0.149520,0.010480,0,3,-0.494087,1.434040,-0.107132
251,12.5500,cargo_0,1.000000,1.000000,0.148973,0.011027,0,3,1.361465,2.707156,0.584331
252,12.6000,cargo_0,1.000000,1.000000,0.148701,0.011299,0,3,1.797444,3.989022,0.648349
253,12.6500,cargo_0,1.000000,1.000000,0.149134,0.010866,0,3,-2.162716,-0.328383,-0.721521
254,12.7000,cargo_0,1.000000,1.000000,0.148624,0.011376,0,3,-0.206454,2.714555,-2.000847
255,12.7500,cargo_0,1.000000,1.000000,0.148155,0.011845,0,3,0.806798,0.756598,0.068269
256,12.8000,cargo_0,1.000000,1.000000,0.149216,0.010784,0,3,-2.637499,0.113236,-0.942383
257,12.8500,cargo_0,1.000000,1.000000,0.148537,0.011463,0,3,0.850134,1.604470,0.671379
258,12.9000,cargo_0,1.000000,1.000000,0.148118,0.011882,0,3,1.227413,2.712581,0.918576
259,12.9500,cargo_0,1.000000,1.000000,0.149181,0.010819,0,3,-2.893736,0.948091,-0.929826
260,13.0000,cargo_0,1.000000,1.000000,0.148848,0.011152,0,4,1.250015,1.252782,0.356012
261,13.0500,cargo_0,1.000000,1.000000,0.148415,0.011585,0,5,1.359899,-1.361057,-0.454172
262,13.1000,cargo_0,1.000000,1.000000,0.149276,0.010724,0,5,-1.118091,-2.770939,-1.387830
